nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
CHINCHO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,147,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,5
CHINCHULES,CARNICO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,144,0,0,K,Si,CARNICO,,GRANEL,SAN CAMILO,,,,
CHIP CHOCOLATE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,148,0,0,K,No,ABARROTES,,GRANEL,MAS VENTAS,1000,0,,25
CHIRIMOYA,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,149,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,9
CHITA ENTERA,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,150,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.5,,38
CHOCHOCA ENTERA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,151,0,0,k,No,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,6.32
CHOCHOCA MOLIDA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,152,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,5
CHOCLO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,153,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,3.5
CHOCLO BB,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,154,0,0,K,Si,VERDURAS,,TAPER X 200GR,DEL CARMEN,1000,0,,6
CHOCLO LATA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MONTE ALTO,155,0,0,K,No,ABARROTES,,LATA X 0.430 K,DEL CARMEN,450,0,,16
CHOCOLATE BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MEGUSSA,156,0,0,K,No,ABARROTES,,PAQUETE X 1 K,DEL CARMEN,1000,0,,21
CHOCOLATE COBERTURA SEMI-AMARGO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FLEISHMAM,157,0,0,K,No,ABARROTES,,PAQUETE X 1 K,DEL CARMEN,1000,0,,19
CHOCOLATE FUDGE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA CABAÑA,158,0,0,K,No,ABARROTES,,BOT X 0.700 L,DEL CARMEN,1,0,,25
CHOCOLATE LECHE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MEGUSSA,159,0,0,K,No,ABARROTES,,CAJA X 1 K,DEL CARMEN,1000,0,,10.8
CHOCOLATE SUBLIME,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SUBLIME,160,0,0,U,No,ABARROTES,,"CAJA DE 24 U X 0,030 K",DEL CARMEN,1000,0,,34.02777777777778
CHOCOLATE TAZA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SOL DEL CUSCO,161,0,0,K,No,ABARROTES,,3 SOBRES X  0.090 K,DEL CARMEN,1000,0,,10.74074074074074
CHONCHOLI,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,162,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0,,5
CHORIZO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,RICO POLLO,163,0,0,K,No,ABARROTES,,PTE,DEL CARMEN,1000,0,,13
CHOROS,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,164,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.25,,9
CHULETA RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,165,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0.1,,15.5
CHUÑO BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,166,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,24
CHUÑO NEGRO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,167,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,10.2
CHURRO PICANTE,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,813,0,0,U,Si,,,,,1000,0,,
CIBOULETTE,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,168,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,3
CIRUELAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,169,0,0,K,Si,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,20
CLAVO DE OLOR POLVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,170,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,60
CLAVO OLOR,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,171,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,65
CLORURO DE CALCIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PASSION FOODS,868,0,0,K,Si,ABARROTES,,GRANEL,PASSSION FOODS,1000,0,,200.00999999999996
COBERTURA BLANCA IBERICA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA IBERICA,173,0,0,K,No,ABARROTES,,SOBRE X 0.20 K,IBERICA,1000,0,,69.5
COBERTURA CHOCOLATE IBERICA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA IBERICA,172,0,0,U,No,ABARROTES,,PQT,IBERICA,1000,0,,48.8
COBERTURA LECHE IBERICA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA IBERICA,174,0,0,K,No,ABARROTES,,SOBRE X 0.20 K,IBERICA,1000,0,,61
COCA COLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COCA COLA,175,0,0,U,No,ABARROTES,,BOT X 0.500 L,DEL CARMEN,1000,0,,2.7
COCHAYUYO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,176,0,0,U,No,ABARROTES,,PLANCHA,DEL CARMEN,1000,0,,7.3
COCO ENTERO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,179,0,0,UNID,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,3.5
COCO RALLADO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,180,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,14
COCOA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,WINTERS,181,0,0,K,No,ABARROTES,,BOLSA X 0.160 K,DEL CARMEN,1000,0,,6
COCONA,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,182,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,5
COCTEL DE FRUTAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FANNY,183,0,0,U,No,ABARROTES,,LATA X 0.820 L,DEL CARMEN,1,0,,
COFIA (TOCA),ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GOLGEN MEDIC,184,0,0,U,No,ABARROTES,,CAJA X 100 U,MAKRO,1000,6,,0.145
COGOTE CERDO,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,185,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,,,,13.5
COL CHINA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,186,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,12
COL DE BRUSELAS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,187,0,0,K,Si,VERDURAS,,PAQ X 0.200 K,DEL CARMEN,1000,0,,7
COL MORADA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,188,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,7
COLA RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,189,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0,,8
COLANTAO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,190,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,12
COLAPEZ LAMINA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,191,0,0,U,No,ABARROTES,,LAMINA,DEL CARMEN,1,0,,0.7
COLAPEZ POLVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,192,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,52
COLIFLOR,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,193,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.1,,4.5
COLORANTE AMARILLO HUEVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL YASAN,194,0,0,K,No,ABARROTES,,FRAS X 0.030 L,DEL CARMEN,1000,0,,44.2
COLORANTES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL YASAN,195,0,0,L,No,ABARROTES,,FRAS X 0.030 L,DEL CARMEN,1000,0,,53.333333333333336
COMINO ENTERO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,196,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,19
COMINO MOLIDO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,197,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,4,,14
CONCENTRADO CHICHA MORADA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GLORIA,198,0,0,L,Si,ABARROTES,,BOTELLA,DEL CARMEN,1000,0,,10
CONCHAS ABANICO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,199,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0,,40
CONEJO,CARNICO / OTROS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,200,0,0,K,Si,CARNICO,OTROS,GRANEL,MARVE,1000,0,,24
CONFITES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,860,0,0,K,Si,ABARROTES,,GRANEL,,1000,0,,20
COÑAC,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,3 PALOS,201,0,0,L,No,ABARROTES,,BOT X 0.750 L,DEL CARMEN,1000,0,,9.9
CORAZON DE BAMBU,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PREGUNTAR LIMA,202,0,0,K,No,ABARROTES,,FRASCO,DEL CARMEN,1000,0,,
CORAZON DE PALMITOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FLORIDA,203,0,0,U,No,ABARROTES,,FRASCO X 0.430 K,DEL CARMEN,1000,11,,30.48780487804878
CORAZON POLLO,CARNICO / AVES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PLAZA VEA,204,0,0,K,Si,CARNICO,AVES,GRANEL,MARVE,1000,0,,15
CORAZON RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,205,0,0,K,Si,CARNICO,RES,GRANEL,SAN CAMILO,1000,0.1,,11
CORN FLAKES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,KELLOGS,844,0,0,K,Si,ABARROTES,,CAJA X 250,FRANCO,1000,0,,22.6
CORVINA,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,206,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.45,,32
CORVINILLA,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,207,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.45,,28
COSTILLAR CERDO,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,208,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,1000,0.12,,17.5
COSTILLAR CORDERO,CARNICO / CORDERO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,209,0,0,K,Si,CARNICO,CORDERO,GRANEL,MARVE,1000,0.12,,25
COSTILLAS AHUMADAS,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,RICO POLLO,210,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,1000,0,,40
COUS COUS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,AGNESI,211,0,0,K,No,ABARROTES,,CAJA,DEL CARMEN,1000,0,,27
CREMA COCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SELVA,212,0,0,U,Si,ABARROTES,,FRAS X 0.280 K,DEL CARMEN,1,0,,23.57142857142857
CREMA DE ALMENDRAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,833,0,0,K,Si,ABARROTES,,GRANEL,,1000,0,,
CREMA DE LECHE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,VASO VELARDE,213,0,0,L,Si,ABARROTES,,CAJA  X 0.500 GR,DEL CARMEN,1000,0,,18.5
CREMA PASTELERA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,828,0,0,K,Si,ABARROTES,,GRANEL,,1000,0,,
CREMOR TARTARO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,214,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,68
CRIADILLAS,CARNICO / VARIOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,215,0,0,K,Si,CARNICO,VARIOS,GRANEL,SAN CAMILO,1000,0,,10
CUCHARAS DESCARTABLES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,216,0,0,CIENTO,No,ABARROTES,,PAQ X 100 U,DEL CARMEN,100,0,,2
CULANTRO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,217,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.02,,2.5
CURACAO AZUL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CURAZAO,218,0,0,U,No,ABARROTES,,BOT,DON PEDRITO,1,0,,30
CURCUMA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BADIA,219,0,0,K,No,ABARROTES,,FRAS X 0.453 K,DEL CARMEN,1000,0,,71.7439293598234
CURRY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,220,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,29
CUY,CARNICO / VARIOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,221,0,0,U,Si,CARNICO,VARIOS,GRANEL,MARVE,1,0,,23
DAMASCO SECO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,222,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,38
DESCARTABLES 1 L,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,223,0,0,CIENTO,No,ABARROTES,,BOLSA,DEL CARMEN,100,0,,32
durazno,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,857,0,0,k,Si,FRUTA,,GRANEL,,1000,0,,8
DURAZNO EN LATA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ACONCAGUA,224,0,0,L,No,ABARROTES,,LATA X 0.820 K,DEL CARMEN,1,0,,10.5
DURAZNO EN LATA KILO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ACONCAGUA,225,0,0,K,No,ABARROTES,,LATA X 1 K,DEL CARMEN,1000,0,,11.5
ECHALOT,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,226,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,5
ENELDO FRESCO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,227,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,3.5
ENELDO SECO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CHEZZ,228,0,0,K,No,ABARROTES,,SOBRE X 0.010 K,DEL CARMEN,1000,0,,320
ESENCIA DE VAINILLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA NEGRITA,229,0,0,L,No,ABARROTES,,BOT X 1 L,DEL CARMEN,1000,0,,7
ESENCIA DE NARANJA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FRAMONT,230,0,0,L,No,ABARROTES,,FRAS X 0.090 K,DEL CARMEN,1000,0,,3.8
ESPARRAGOS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,231,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,7
ESPINACA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,232,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,6
ESPINAZO PESCADO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,233,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0,,3
ESTABILIZANTE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,234,0,0,K,No,ABARROTES,,GRANEL,MAS VENTAS,1000,0,,31
ESTERILLA DE BAMBU,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,814,0,0,PQT,Si,,,,,1000,0,,
ESTRAGON FRESCO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,235,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,5
ESTRAGON SECO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,236,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,180
FECULA DE PAPA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,237,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,5.8
FETTUCCINI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NICOLINI,238,0,0,K,No,ABARROTES,,PAQ X 0.500 K,DEL CARMEN,1000,0,,7
FIDEO CANUTO RAYADO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,AGNESI,239,0,0,K,No,ABARROTES,,BOLSA X 250GR,DEL CARMEN,1000,0,,1.3
FIDEO FARFALLE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,AGNESI,240,0,0,K,No,ABARROTES,,BOLSA X 500GR,DEL CARMEN,1000,0,,8.5
FIDEOS CODITO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DON VITORIO,864,0,0,K,Si,ABARROTES,,BOLSA X 250GR,,1000,0,,1.5
FIDEOS FANCI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,VERMISELI,241,0,0,K,No,ABARROTES,,BOLSA X 0.5 K,DEL CARMEN,1000,0,,10
FIDEOS FUSILLI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,841,0,0,K,Si,ABARROTES,,BOLSA,,1000,0,,8.5
FIDEOS LINGUINI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DON VITORIO,242,0,0,K,No,ABARROTES,,PAQ X 0.500 K,DEL CARMEN,1000,0,,5
FIDEOS UDON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,243,0,0,K,No,ABARROTES,,BOLSA,DEL CARMEN,1000,0,,14
FILETE DIAMANTE,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,244,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.05,,20
FILETE PERICO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,245,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0,,35
FONDANT,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FRESCIA,246,0,0,K,No,ABARROTES,,TAPER X 1K,DEL CARMEN,1000,0,,12.8
FONDO DE AVE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,807,0,0,L,Si,ABARROTES,,GRANEL,CEDHI,1,0,,
FONDO OSCURO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,247,0,0,L,Si,ABARROTES,,GRANEL,CEDHI,1000,0,,1
FONDO VEGETAL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,840,0,0,L,Si,ABARROTES,,GRANEL,CEDHI,1000,0,,
FOSFORO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,INTI,248,0,0,U,No,ABARROTES,,PAQUETE X 10U,DEL CARMEN,1000,0,,2
FOSH,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,810,0,0,K,Si,ABARROTES,,,,1,0,,
FRAMBUESA,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,249,0,0,TAPER,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,9
FREJOL CABALLERO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,250,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,9.5
FREJOL CANARIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,251,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,9.5
FREJOL CHINO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,252,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,5
FREJOL NEGRO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,253,0,0,K,No,ABARROTES,,BOLSA X 0.500 K,DEL CARMEN,1000,0,,6.5
FREJOL PANAMITO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,254,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,4.8
FREJOL ROJO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,255,0,0,K,No,ABARROTES,,BOLSA X 0.5OO K,DEL CARMEN,1000,0,,4.5
FRESA,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,256,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,9
FRUTA CONFITADA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,257,0,0,K,Si,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,7.5
FUMET,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,839,0,0,L,Si,ABARROTES,,GRANEL,CEDHI,1000,0,,
GALLETA CHARADA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CHARADA,258,0,0,K,No,ABARROTES,,PAQ X 6 U X 0.036 K,DEL CARMEN,1000,0,,11.11111111111111
GALLETAS ANIMALITOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,259,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,4.8
GALLETAS OREO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,OREO,260,0,0,K,No,ABARROTES,,PAQ X 6 U X 0.036 K,DEL CARMEN,1000,0,,15.74074074074074
GALLETAS SODA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SODA DIA,261,0,0,K,No,ABARROTES,,PAQ X 6 U X 0.036 K,DEL CARMEN,1000,0,,11.574074074074074
GALLETAS VAINILLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FIELD,262,0,0,K,No,ABARROTES,,PAQ X 6 U X 0.036 K,DEL CARMEN,1000,0,,15.74074074074074
GALLIANO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GALLIANO,263,0,0,U,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,98
GALLINA ENTERA S/M,CARNICO / AVES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,264,0,0,K,Si,CARNICO,AVES,GRANEL,MARVE,1000,0.15,,17
GARBANZO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,265,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,9.5
GASA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,266,0,0,U,No,ABARROTES,,SOBRE,INKA FARMA,,0,,2.5
GELATINA CHICLE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,267,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,7.5
