nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
VODKA SMIRNOFF,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SMIRNOFF,782,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
WASABI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,784,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,59
WHISKY BALLANTINES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BALLANTINES,786,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,28
WHISKY ET. ROJA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,JOHNNIE WALKER,787,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,30
WHISKY J&B,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,J&B,788,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,30
WHISKY JAMESON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,JAMESON,791,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,68
WHISKY VAT 69,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,VAT 69,792,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
YOGURT FRESA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GLORIA,793,0,0,L,Si,ABARROTES,,BOT X 1 L,DEL CARMEN,1000,0,,4.9
YOGURT NATURAL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GLORIA,794,0,0,L,Si,ABARROTES,,BOT X 1 L,DEL CARMEN,1000,0,,8
YOGURT VAINILLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,795,0,0,Sin unidad,Si,ABARROTES,,,DEL CARMEN,1000,0,,4.9
VAINITA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,750,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,3.5
YUYOS,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,797,0,0,PORCIÓN,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1,0,,10
YUCA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,796,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.15,,3.8
ZANAHORIA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,798,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,3
ZANAHORIA BB,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,799,0,0,TAPER,Si,VERDURAS,,TAPER,DEL CARMEN,,,,5
ZAPALLO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,800,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,4
ZAPALLO CHILENO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,801,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,4
ZENCA PRECOCIDA,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,803,0,0,K,Si,CARNICO,RES,GRANEL,SAN CAMILO,1000,0,,16.5
ZAPALLO LOCHE,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,802,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,15
ZUCHINI,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,804,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,4
SACO DE DETERGENTE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,796,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,79
